"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34939.6655671	15.44	59.81	127
34939.6864005	14.81	58.67	131
34939.7072338	13.11	55.60	142
34939.7280671	16.56	61.82	120
34939.7489005	14.97	58.95	130
34939.7697338	14.65	58.38	132
34939.7905671	14.34	57.82	134
34939.8114005	17.84	64.12	112
34939.8322338	15.44	59.81	127
34939.8530671	16.24	61.24	122
34939.8739005	17.04	62.68	117
34939.8947338	16.40	61.53	121
34939.9155671	16.40	61.53	121
34939.9364005	13.72	56.71	138
34939.9572338	15.61	60.10	126
34939.9780671	14.65	58.38	132
34939.9989005	14.81	58.67	131
34940.0197338	12.48	54.48	146
34940.0405671	12.48	54.48	146
34940.0614005	12.01	53.63	149
34940.0822338	13.11	55.60	142
34940.1030671	13.72	56.71	138
34940.1239005	14.49	58.10	133
34940.1447338	14.65	58.38	132
34940.1655671	14.81	58.67	131
34940.1864005	15.28	59.52	128
34940.2072338	15.76	60.38	125
34940.2280671	15.61	60.10	126
34940.2489005	16.08	60.96	123
34940.2697338	16.08	60.96	123
34940.2905671	16.24	61.24	122
34940.3114005	16.40	61.53	121
34940.3322338	16.40	61.53	121
34940.3530671	16.40	61.53	121
34940.3739005	15.92	60.67	124
34940.3947338	16.56	61.82	120
34940.4155671	15.92	60.67	124
34940.4364005	16.56	61.82	120
34940.4572338	16.40	61.53	121
34940.4780671	14.18	57.54	135
34940.4989005	13.72	56.71	138
34940.5197338	13.87	56.98	137
34940.5405671	15.92	60.67	124
34940.5614005	14.03	57.26	136
34940.5822338	14.03	57.26	136
34940.6030671	14.49	58.10	133
34940.6239005	15.61	60.10	126
34940.6447338	16.08	60.96	123
34940.6655671	16.88	62.39	118
34940.6864005	17.20	62.97	116
34940.7072338	17.52	63.54	114
34940.7280671	17.36	63.26	115
34940.7489005	17.52	63.54	114
34940.7697338	17.68	63.83	113
34940.7905671	17.84	64.12	112
34940.8114005	17.68	63.83	113
34940.8322338	17.84	64.12	112
34940.8530671	17.84	64.12	112
34940.8739005	17.36	63.26	115
34940.8947338	17.04	62.68	117
34940.9155671	16.72	62.10	119
34940.9364005	16.24	61.24	122
34940.9572338	17.04	62.68	117
34940.9780671	17.04	62.68	117
34940.9989005	17.04	62.68	117
34941.0197338	16.72	62.10	119
34941.0405671	15.76	60.38	125
34941.0614005	16.56	61.82	120
34941.0822338	15.44	59.81	127
34941.1030671	16.56	61.82	120
34941.1239005	16.40	61.53	121
34941.1447338	16.40	61.53	121
34941.1655671	16.72	62.10	119
34941.1864005	16.88	62.39	118
34941.2072338	17.04	62.68	117
34941.2280671	17.04	62.68	117
34941.2489005	17.04	62.68	117
34941.2697338	17.04	62.68	117
34941.2905671	17.04	62.68	117
34941.3114005	17.04	62.68	117
34941.3322338	16.88	62.39	118
34941.3530671	16.88	62.39	118
34941.3739005	16.88	62.39	118
34941.3947338	17.04	62.68	117
34941.4155671	16.88	62.39	118
34941.4364005	17.04	62.68	117
34941.4572338	17.52	63.54	114
34941.4780671	17.68	63.83	113
34941.4989005	17.68	63.83	113
34941.5197338	17.52	63.54	114
34941.5405671	17.68	63.83	113
34941.5614005	17.52	63.54	114
34941.5822338	17.84	64.12	112
34941.6030671	17.84	64.12	112
34941.6239005	17.84	64.12	112
34941.6447338	17.84	64.12	112
34941.6655671	17.84	64.12	112
34941.6864005	18.00	64.41	111
34941.7072338	17.84	64.12	112
34941.7280671	17.84	64.12	112
34941.7489005	17.84	64.12	112
34941.7697338	17.84	64.12	112
34941.7905671	17.84	64.12	112
34941.8114005	17.84	64.12	112
34941.8322338	17.84	64.12	112
34941.8530671	17.68	63.83	113
34941.8739005	17.68	63.83	113
34941.8947338	17.52	63.54	114
34941.9155671	17.36	63.26	115
34941.9364005	17.52	63.54	114
34941.9572338	17.52	63.54	114
34941.9780671	17.20	62.97	116
34941.9989005	17.04	62.68	117
34942.0197338	16.56	61.82	120
34942.0405671	16.72	62.10	119
34942.0614005	16.56	61.82	120
34942.0822338	16.40	61.53	121
34942.1030671	16.08	60.96	123
34942.1239005	14.65	58.38	132
34942.1447338	17.04	62.68	117
34942.1655671	15.76	60.38	125
34942.1864005	16.56	61.82	120
34942.2072338	17.52	63.54	114
34942.2280671	17.52	63.54	114
34942.2489005	17.52	63.54	114
34942.2697338	17.68	63.83	113
34942.2905671	17.68	63.83	113
34942.3114005	17.68	63.83	113
34942.3322338	17.52	63.54	114
34942.3530671	17.68	63.83	113
34942.3739005	17.68	63.83	113
34942.3947338	17.68	63.83	113
34942.4155671	17.68	63.83	113
34942.4364005	17.68	63.83	113
34942.4572338	17.68	63.83	113
34942.4780671	17.68	63.83	113
34942.4989005	17.68	63.83	113
34942.5197338	17.52	63.54	114
34942.5405671	17.68	63.83	113
34942.5614005	17.68	63.83	113
34942.5822338	17.52	63.54	114
34942.6030671	17.68	63.83	113
34942.6239005	17.52	63.54	114
34942.6447338	17.52	63.54	114
34942.6655671	17.52	63.54	114
34942.6864005	17.52	63.54	114
34942.7072338	17.52	63.54	114
34942.7280671	16.40	61.53	121
34942.7489005	17.52	63.54	114
34942.7697338	17.36	63.26	115
34942.7905671	18.32	64.99	109
34942.8114005	17.68	63.83	113
34942.8322338	18.00	64.41	111
34942.8530671	18.32	64.99	109
34942.8739005	17.84	64.12	112
34942.8947338	17.68	63.83	113
34942.9155671	17.68	63.83	113
34942.9364005	17.84	64.12	112
34942.9572338	18.00	64.41	111
34942.9780671	17.68	63.83	113
34942.9989005	17.68	63.83	113
34943.0197338	17.52	63.54	114
34943.0405671	17.52	63.54	114
34943.0614005	17.52	63.54	114
34943.0822338	17.68	63.83	113
34943.1030671	17.68	63.83	113
34943.1239005	17.04	62.68	117
34943.1447338	17.36	63.26	115
34943.1655671	15.76	60.38	125
34943.1864005	17.36	63.26	115
34943.2072338	16.88	62.39	118
34943.2280671	17.36	63.26	115
34943.2489005	17.68	63.83	113
34943.2697338	17.52	63.54	114
34943.2905671	17.68	63.83	113
34943.3114005	17.68	63.83	113
34943.3322338	17.68	63.83	113
34943.3530671	17.68	63.83	113
34943.3739005	17.68	63.83	113
34943.3947338	17.84	64.12	112
34943.4155671	17.84	64.12	112
34943.4364005	17.84	64.12	112
34943.4572338	17.68	63.83	113
34943.4780671	17.84	64.12	112
34943.4989005	18.00	64.41	111
34943.5197338	17.36	63.26	115
34943.5405671	17.52	63.54	114
34943.5614005	18.16	64.70	110
34943.5822338	17.36	63.26	115
34943.6030671	17.52	63.54	114
34943.6239005	17.36	63.26	115
34943.6447338	17.20	62.97	116
34943.6655671	17.04	62.68	117
34943.6864005	17.20	62.97	116
34943.7072338	17.36	63.26	115
34943.7280671	16.72	62.10	119
34943.7489005	16.40	61.53	121
34943.7697338	17.04	62.68	117
34943.7905671	18.16	64.70	110
34943.8114005	17.68	63.83	113
34943.8322338	17.68	63.83	113
34943.8530671	18.48	65.28	108
34943.8739005	18.32	64.99	109
34943.8947338	18.00	64.41	111
34943.9155671	18.16	64.70	110
34943.9364005	18.00	64.41	111
34943.9572338	17.52	63.54	114
34943.9780671	17.36	63.26	115
34943.9989005	17.68	63.83	113
34944.0197338	17.68	63.83	113
34944.0405671	17.68	63.83	113
34944.0614005	17.68	63.83	113
34944.0822338	17.52	63.54	114
34944.1030671	17.20	62.97	116
34944.1239005	17.20	62.97	116
34944.1447338	16.08	60.96	123
34944.1655671	15.28	59.52	128
34944.1864005	15.61	60.10	126
34944.2072338	15.61	60.10	126
34944.2280671	16.40	61.53	121
34944.2489005	15.76	60.38	125
34944.2697338	16.40	61.53	121
34944.2905671	16.72	62.10	119
34944.3114005	17.52	63.54	114
34944.3322338	17.52	63.54	114
34944.3530671	16.40	61.53	121
34944.3739005	17.52	63.54	114
34944.3947338	17.20	62.97	116
34944.4155671	17.52	63.54	114
34944.4364005	17.52	63.54	114
34944.4572338	17.36	63.26	115
34944.4780671	17.36	63.26	115
34944.4989005	17.52	63.54	114
34944.5197338	17.68	63.83	113
34944.5405671	17.84	64.12	112
34944.5614005	18.00	64.41	111
34944.5822338	17.84	64.12	112
34944.6030671	17.52	63.54	114
34944.6239005	14.65	58.38	132
34944.6447338	16.72	62.10	119
34944.6655671	14.03	57.26	136
34944.6864005	14.97	58.95	130
34944.7072338	12.64	54.76	145
34944.7280671	14.65	58.38	132
34944.7489005	13.72	56.71	138
34944.7697338	14.81	58.67	131
34944.7905671	13.26	55.88	141
34944.8114005	15.61	60.10	126
34944.8322338	15.92	60.67	124
34944.8530671	14.97	58.95	130
34944.8739005	15.44	59.81	127
34944.8947338	16.88	62.39	118
34944.9155671	17.84	64.12	112
34944.9364005	15.44	59.81	127
34944.9572338	17.68	63.83	113
34944.9780671	17.20	62.97	116
34944.9989005	17.20	62.97	116
34945.0197338	17.04	62.68	117
34945.0405671	17.04	62.68	117
34945.0614005	17.20	62.97	116
34945.0822338	17.20	62.97	116
34945.1030671	17.20	62.97	116
34945.1239005	17.36	63.26	115
34945.1447338	17.36	63.26	115
34945.1655671	16.40	61.53	121
34945.1864005	15.28	59.52	128
34945.2072338	14.81	58.67	131
34945.2280671	15.92	60.67	124
34945.2489005	14.81	58.67	131
34945.2697338	15.76	60.38	125
34945.2905671	14.97	58.95	130
34945.3114005	16.56	61.82	120
34945.3322338	13.87	56.98	137
34945.3530671	16.88	62.39	118
34945.3739005	16.56	61.82	120
34945.3947338	15.28	59.52	128
34945.4155671	16.40	61.53	121
34945.4364005	16.40	61.53	121
34945.4572338	17.52	63.54	114
34945.4780671	16.24	61.24	122
34945.4989005	17.20	62.97	116
34945.5197338	16.88	62.39	118
34945.5405671	15.92	60.67	124
34945.5614005	16.72	62.10	119
34945.5822338	16.08	60.96	123
34945.6030671	16.24	61.24	122
34945.6239005	14.65	58.38	132
34945.6447338	16.24	61.24	122
34945.6655671	16.56	61.82	120
34945.6864005	14.97	58.95	130
34945.7072338	14.49	58.10	133
34945.7280671	12.32	54.19	147
34945.7489005	14.03	57.26	136
34945.7697338	14.49	58.10	133
34945.7905671	12.79	55.04	144
34945.8114005	13.26	55.88	141
34945.8322338	13.41	56.15	140
34945.8530671	15.76	60.38	125
34945.8739005	15.61	60.10	126
34945.8947338	15.13	59.24	129
34945.9155671	16.56	61.82	120
34945.9364005	17.04	62.68	117
34945.9572338	18.00	64.41	111
34945.9780671	18.48	65.28	108
34945.9989005	17.04	62.68	117
34946.0197338	15.76	60.38	125
34946.0405671	15.92	60.67	124
34946.0614005	16.88	62.39	118
34946.0822338	16.72	62.10	119
34946.1030671	17.36	63.26	115
34946.1239005	17.36	63.26	115
34946.1447338	16.40	61.53	121
34946.1655671	16.40	61.53	121
34946.1864005	15.92	60.67	124
34946.2072338	14.81	58.67	131
34946.2280671	14.49	58.10	133
34946.2489005	14.81	58.67	131
34946.2697338	14.03	57.26	136
34946.2905671	14.34	57.82	134
34946.3114005	13.57	56.43	139
34946.3322338	14.49	58.10	133
34946.3530671	14.18	57.54	135
34946.3739005	16.24	61.24	122
34946.3947338	17.52	63.54	114
34946.4155671	14.49	58.10	133
34946.4364005	14.34	57.82	134
34946.4572338	15.61	60.10	126
34946.4780671	16.24	61.24	122
34946.4989005	16.40	61.53	121
34946.5197338	16.08	60.96	123
34946.5405671	16.56	61.82	120
34946.5614005	16.88	62.39	118
34946.5822338	18.81	65.87	106
34946.6030671	17.20	62.97	116
34946.6239005	17.84	64.12	112
34946.6447338	17.36	63.26	115
34946.6655671	17.36	63.26	115
34946.6864005	16.40	61.53	121
34946.7072338	15.76	60.38	125
34946.7280671	15.92	60.67	124
34946.7489005	16.08	60.96	123
34946.7697338	14.65	58.38	132
34946.7905671	15.13	59.24	129
