Date,YY,MM,godas_5,godas_15,godas_25
1992-02-01,1992,2,3.7198730468750223,3.7152954101562727,3.7244506835937727
1992-03-01,1992,3,3.3490844726562727,3.3597656250000227,3.4040161132812727
1992-04-01,1992,4,3.7442871093750223,3.7473388671875223,3.7717529296875223
1992-05-01,1992,5,6.158288574218773,5.563195800781273,4.923822021484398
1992-06-01,1992,6,11.511254882812525,10.049401855468773,7.002130126953148
1992-07-01,1992,7,15.200921630859398,11.431909179687525,7.583520507812523
1992-08-01,1992,8,16.198876953125023,11.698937988281273,8.882073974609398
1992-09-01,1992,9,15.019342041015648,13.786401367187525,10.267602539062525
1992-10-01,1992,10,12.461907958984398,12.437493896484398,12.316918945312525
1992-11-01,1992,11,9.167413330078148,9.164361572265648,9.156732177734398
1992-12-01,1992,12,6.925836181640648,6.927362060546898,6.927362060546898
1993-01-01,1993,1,5.296166992187523,5.293115234375023,5.297692871093773
1993-02-01,1993,2,3.7351318359375223,3.7351318359375223,3.7442871093750223
1993-03-01,1993,3,2.6914001464843977,2.6669860839843977,2.6669860839843977
1993-04-01,1993,4,3.2132507324218977,3.1873107910156477,3.1445861816406477
1993-05-01,1993,5,7.101312255859398,6.371942138671898,5.169488525390648
1993-06-01,1993,6,10.903924560546898,9.872399902343773,6.674066162109398
1993-07-01,1993,7,16.063073730468773,10.771173095703148,6.637445068359398
1993-08-01,1993,8,17.933862304687523,11.842370605468773,8.358697509765648
1993-09-01,1993,9,15.988305664062525,14.338769531250025,10.588067626953148
1993-10-01,1993,10,12.423760986328148,12.468011474609398,12.133813476562525
1993-11-01,1993,11,9.335290527343773,9.355126953125025,9.402429199218773
1993-12-01,1993,12,7.615563964843773,7.620141601562523,7.629296875000023
1994-01-01,1994,1,5.093194580078148,5.093194580078148,5.093194580078148
1994-02-01,1994,2,3.1293273925781477,3.1278015136718977,3.1293273925781477
1994-03-01,1994,3,2.4838806152343977,2.4793029785156477,2.4731994628906477
1994-04-01,1994,4,3.6206909179687727,3.6054321289062727,3.6069580078125223
1994-05-01,1994,5,6.669488525390648,6.378045654296898,5.958398437500023
1994-06-01,1994,6,11.273187255859398,10.026513671875025,6.510797119140648
1994-07-01,1994,7,17.065606689453148,11.659265136718773,7.041802978515648
1994-08-01,1994,8,18.098657226562523,15.298577880859398,12.136865234375025
1994-09-01,1994,9,15.806726074218773,15.792993164062525,14.933892822265648
