YY,MM,DD,AverageTemp
1997,2,18,3.276666666666667
1997,2,19,3.3266666666666667
1997,2,20,3.6783333333333332
1997,2,21,3.5837499999999998
1997,2,22,3.8002083333333334
1997,2,23,3.86
1997,2,24,3.8520833333333333
1997,2,25,3.806590909090909
1997,2,26,3.7275
1997,2,27,3.82125
1997,2,28,3.8499999999999996
1997,3,1,3.853333333333333
1997,3,2,3.973333333333333
1997,3,3,4
1997,3,4,3.993333333333333
1997,3,5,4
1997,3,6,4.023333333333333
1997,3,7,3.933333333333333
1997,3,8,3.8404166666666666
1997,3,9,3.786875
1997,3,10,3.715
1997,3,11,3.6931249999999998
1997,3,12,3.69
1997,3,13,3.554375
1997,3,14,3.3791666666666664
1997,3,15,3.3987499999999997
1997,3,16,3.236666666666667
1997,3,17,3.216666666666667
1997,3,18,3.451875
1997,3,19,3.4304166666666664
1997,3,20,3.4143749999999997
1997,3,21,3.4110416666666667
1997,3,22,3.4675
1997,3,23,3.451875
1997,3,24,3.3831249999999997
1997,3,25,3.4145833333333333
1997,3,26,3.501875
1997,3,27,3.59
1997,3,28,3.7758333333333334
1997,3,29,3.830833333333333
1997,3,30,4.02
1997,3,31,4.238125
1997,4,1,4.0024999999999995
1997,4,2,3.9833333333333334
1997,4,3,4.042916666666667
1997,4,4,4.196875
1997,4,5,4.4714583333333335
1997,4,6,4.5125
1997,4,7,4.500416666666667
1997,4,8,4.146458333333333
1997,4,9,3.98
1997,4,10,4.082083333333333
1997,4,11,4.248333333333333
1997,4,12,4.370833333333334
1997,4,13,4.467708333333333
1997,4,14,4.500625
1997,4,15,4.875625
1997,4,16,4.883541666666667
1997,4,17,4.912916666666667
1997,4,18,4.815833333333333
1997,4,19,4.725625
1997,4,20,5.004583333333334
1997,4,21,5.327916666666667
1997,4,22,5.198125
1997,4,23,5.499583333333334
1997,4,24,6.063958333333333
1997,4,25,5.844375
1997,4,26,5.619166666666667
1997,4,27,5.665625
1997,4,28,5.885416666666667
1997,4,29,5.6102083333333335
1997,4,30,5.835
1997,5,1,5.974166666666666
1997,5,2,5.2856250000000005
1997,5,3,6.323958333333334
1997,5,4,5.853125
1997,5,5,6.395416666666667
1997,5,6,6.320833333333334
1997,5,7,5.220625
1997,5,8,5.481458333333333
1997,5,9,5.909166666666667
1997,5,10,6.151875
1997,5,11,6.058333333333334
1997,5,12,6.360227272727273
1997,5,13,5.992954545454546
1997,5,14,5.944791666666667
1997,5,15,5.823125
1997,5,16,5.34875
1997,5,17,4.99375
1997,5,18,5.169791666666667
1997,5,19,5.505625
1997,5,20,6.276041666666667
1997,5,21,5.967083333333333
1997,5,22,5.630833333333333
1997,5,23,7.38
1997,5,24,7.979583333333333
1997,5,25,7.631666666666667
1997,5,26,6.843958333333333
1997,5,27,8.899166666666666
1997,5,28,8.904375
1997,5,29,8.551874999999999
1997,5,30,7.433958333333333
1997,5,31,6.531458333333333
1997,6,1,6.660208333333333
1997,6,2,9.54
1997,6,3,10.369375
1997,6,4,10.496666666666666
1997,6,5,10.532291666666667
1997,6,6,10.41875
1997,6,7,10.762500000000001
1997,6,8,11.126875
1997,6,9,10.913958333333333
1997,6,10,11.220833333333333
1997,6,11,11.541875
1997,6,12,11.267708333333333
1997,6,13,11.156041666666667
1997,6,14,10.643541666666668
1997,6,15,11.633541666666666
1997,6,16,11.358333333333334
1997,6,17,10.708125
