MM,DD,YY,HRI_AverageTemp,HRI_MaxTemp,HRI_TempDifference,Samples_per_day
1,11,2012,6.964833333333333,7.192,0.22716666666666718,48
1,11,2013,6.058041666666667,6.509,0.45095833333333335,48
1,11,2014,4.0858125,4.35,0.26418749999999935,48
1,11,2015,5.897958333333333,6.026,0.1280416666666664,48
1,11,2016,6.960625,7.167,0.20637499999999953,48
1,12,2000,5.7647916666666665,5.83,0.06520833333333353,48
1,12,2002,5.880416666666666,6.06,0.17958333333333343,48
1,12,2005,4.800208333333333,5.08,0.2797916666666671,48
1,12,2006,5.84375,6.06,0.2162499999999996,48
1,12,2008,4.80375,5.13,0.32624999999999993,48
1,12,2009,3.8644583333333333,4.089,0.22454166666666708,48
1,12,2010,2.7485416666666667,3.12,0.37145833333333345,48
1,12,2012,6.770875,6.99,0.21912500000000001,48
1,12,2013,6.098875,6.255,0.1561250000000003,48
1,12,2014,4.381854166666667,4.61,0.2281458333333335,48
1,12,2015,5.791854166666667,6.128,0.33614583333333314,48
1,12,2016,6.69975,6.914,0.21424999999999983,48
1,13,2000,5.738125,5.83,0.09187499999999993,48
1,13,2002,5.783541666666666,6.06,0.27645833333333325,48
1,13,2005,4.656875,4.77,0.11312499999999925,48
1,13,2006,5.81125,5.91,0.0987499999999999,48
1,13,2008,4.556041666666666,4.84,0.28395833333333353,48
1,13,2009,3.7594375,3.906,0.14656249999999993,48
1,13,2010,3.035416666666667,3.12,0.08458333333333323,48
1,13,2012,6.620208333333333,6.763,0.14279166666666665,48
1,13,2013,5.9384375,6.102,0.16356250000000028,48
1,13,2014,4.6089166666666666,4.792,0.18308333333333326,48
1,13,2015,5.601020833333333,6.255,0.6539791666666668,48
1,13,2016,6.513520833333334,6.611,0.09747916666666612,48
1,14,2000,5.224166666666666,5.67,0.44583333333333375,48
1,14,2002,5.780208333333333,5.91,0.12979166666666675,48
1,14,2005,4.9122916666666665,5.55,0.6377083333333333,48
1,14,2006,5.853958333333334,5.91,0.05604166666666632,48
1,14,2008,4.737291666666667,5.13,0.3927083333333332,48
1,14,2009,3.383583333333333,3.775,0.39141666666666675,48
1,14,2010,3.3372916666666668,3.71,0.3727083333333332,48
1,14,2012,6.596916666666667,6.737,0.14008333333333312,48
1,14,2013,6.087875,6.204,0.11612499999999937,48
1,14,2014,4.53525,4.688,0.15275000000000016,48
1,14,2015,5.1313125,5.308,0.1766874999999999,48
1,14,2016,6.954291666666666,7.142,0.18770833333333403,48
1,15,2000,4.073958333333334,4.58,0.5060416666666665,48
